,price,location,baths,bedrooms,Total_Area
2,165.0,G-15,6,5,2178.008
3,435.0,Bani Gala,4,4,10890.0
4,70.0,DHA Defence,3,3,2178.008
5,345.0,Ghauri Town,8,8,87120.0
6,270.0,Korang Town,8,8,5445.0
8,500.0,DHA Defence,7,7,5445.0
16,190.0,DHA Defence,3,3,2722.51
17,800.0,DHA Defence,7,7,10890.0
18,269.0,B-17,6,6,5445.0
20,550.0,G-11,7,6,3811.514
21,45.0,Bhara kahu,3,3,1361.255
24,45.0,Garden Town,4,4,12795.797
25,68.0,Koral Town,4,4,1089.004
26,200.0,Soan Garden,5,6,3267.012
28,1000.0,F-6,5,5,48460.67799999999
31,2200.0,F-7,10,10,114345.0
32,45.0,Ghauri Town,3,2,1361.255
33,125.0,I-16,5,6,2178.008
34,2300.0,E-7,4,4,136125.0
221,388.0,Emaar Canyon Views,4,5,81675.0
224,465.0,G-13,9,9,29675.359
226,140.0,F-17,6,4,1905.757
228,325.0,Korang Town,9,7,3267.012
230,300.0,Bahria Town,7,6,2722.51
231,210.0,Bahria Town,6,5,2722.51
376,140.0,G-13,5,5,1089.004
377,145.0,Ghauri Town,5,4,1905.757
378,190.0,G-11,5,5,15246.056
381,65.0,DHA Defence,3,3,2178.008
382,185.0,DHA Defence,4,3,2722.51
383,42.0,DHA Defence,0,2,1361.255
384,155.0,PWD Housing Scheme,5,5,2722.51
386,1050.0,F-11,10,7,5445.0
391,310.0,G-13,10,8,2722.51
393,105.0,Kuri Road,4,3,2178.008
394,145.0,G-11,3,4,11979.043999999998
395,830.0,F-11,6,6,5445.0
397,130.0,Pakistan Town,4,4,3267.012
400,90.0,Chatha Bakhtawar,4,4,1361.255
401,650.0,G-11,6,6,5445.0
404,900.0,E-11,9,9,5445.0
405,800.0,F-10,6,6,5445.0
406,850.0,F-10,6,6,5445.0
407,850.0,F-11,6,6,5445.0
409,1050.0,F-7,5,4,70785.0
594,85.0,Bani Gala,5,5,1361.255
597,130.0,G-13,4,3,1361.255
599,320.0,B-17,10,8,5445.0
600,500.0,F-8,5,4,25319.343
602,210.0,Bahria Town,6,5,2722.51
603,800.0,F-8,5,5,5445.0
606,365.0,Bahria Town,7,6,5445.0
607,260.0,DHA Defence,0,4,2722.51
608,235.0,Bahria Town,6,5,2722.51
609,430.0,Bahria Town,8,6,5445.0
610,230.0,Bahria Town,6,5,2722.51
611,275.0,G-11,5,5,2178.008
613,950.0,F-11,9,9,5445.0
769,725.0,Bahria Town,7,6,10890.0
771,3200.0,F-8,10,10,196020.0
773,410.0,G-11,6,6,38659.642
776,120.0,Bhara kahu,4,4,2178.008
778,550.0,Emaar Canyon Views,7,7,98010.0
779,1400.0,F-11,6,9,10890.0
780,545.0,I-8,0,4,33759.124
889,45.0,Lehtarar Road,3,2,1361.255
890,235.0,G-11,4,4,2178.008
905,379.0,G-9,6,6,38659.642
907,130.0,E-14,5,6,2722.51
908,1650.0,F-8,6,6,10890.0
910,850.0,F-10,7,6,70785.0
916,1100.0,F-8,9,0,5445.0
917,95.0,Soan Garden,3,3,2722.51
919,480.0,Bani Gala,8,8,81675.0
920,748.0,E-11,10,10,5445.0
921,300.0,G-8,0,5,2450.259
1050,280.0,Bahria Town,6,5,2994.7609999999995
1210,85.0,I-14,3,4,816.7529999999999
1211,220.0,DHA Defence,4,6,2722.51
1222,42.0,Tarlai,3,5,1089.004
1223,350.0,G-13,6,6,29675.359
1224,140.0,PWD Housing Scheme,4,4,18240.817
1225,43.0,Simly Dam Road,3,2,1361.255
1226,360.0,DHA Defence,7,7,4356.016
1227,3500.0,E-7,8,8,103455.0
1228,1500.0,F-7,7,7,98010.0
1229,47.0,Ghauri Town,0,0,1089.004
1230,165.0,I-9,4,5,1633.506
1231,1700.0,E-11,0,0,10890.0
1232,45.0,Burma Town,3,2,1089.004
1234,400.0,Emaar Canyon Views,6,5,5445.0
1236,400.0,PWD Housing Scheme,6,6,5445.0
1237,47.0,Lehtarar Road,5,5,1361.255
1238,1800.0,F-7,8,7,70785.0
1239,140.0,F-17,6,4,1905.757
1240,420.0,G-13,10,9,2994.7609999999995
1241,225.0,Bani Gala,4,3,5172.768999999999
1242,23.0,Burma Town,3,4,816.7529999999999
1244,300.0,National Police Foundation O-9,7,4,5445.0
1245,675.0,Naval Anchorage,8,7,10890.0
1246,48.0,Islamabad Highway,2,2,1089.004
1247,500.0,CBR Town,3,4,38659.642
1248,380.0,E-11,7,7,2722.51
1251,170.0,Bhara kahu,0,0,2994.7609999999995
1252,52.0,Ghauri Town,4,3,816.7529999999999
1253,1700.0,F-7,4,4,119790.0
1254,125.0,Bani Gala,4,4,2722.51
1255,520.0,PWD Housing Scheme,0,3,3811.514
1256,465.0,DHA Defence,6,5,5445.0
1258,300.0,National Police Foundation,0,0,5445.0
1259,210.0,G-10,5,4,1361.255
1260,135.0,Bahria Town,4,3,1361.255
1262,1700.0,F-7,4,4,114345.0
1263,27.0,Jhang Syedan,3,2,1089.004
1264,630.0,F-11,0,0,5445.0
1265,580.0,I-8,6,6,5445.0
1266,125.0,Korang Town,5,4,1361.255
1268,175.0,G-15,3,2,2178.008
1269,169.0,G-10,4,3,1633.506
1270,220.0,DHA Defence,5,6,2722.51
1271,219.0,DHA Defence,5,6,2722.51
1272,220.0,DHA Defence,5,5,2722.51
1275,30.0,Bhara kahu,2,2,1089.004
1276,52.0,Ghauri Town,3,2,1089.004
1277,140.0,D-17,5,5,1905.757
1278,35.0,Ghauri Town,2,3,1361.255
1279,260.0,Simly Dam Road,0,6,65340.0
1280,500.0,G-13,8,0,5445.0
1281,26.0,Arsalan Town,1,2,1089.004
1282,97.0,Kashmir Highway,6,4,14973.804999999998
1496,145.0,I-10,2,4,1361.255
1497,130.0,B-17,6,6,19874.323
1498,75.0,Soan Garden,4,3,2178.008
1499,900.0,PWD Road,0,0,5445.0
1500,1700.0,F-7,6,6,114345.0
1502,142.0,Pir Sohawa,2,2,1905.757
1503,135.0,Ghauri Town,5,3,2994.7609999999995
1504,197.0,Pir Sohawa,2,2,26408.347
1505,256.0,Pir Sohawa,3,3,43287.909
1506,43.0,DHA Defence,2,2,1361.255
1507,85.0,Bani Gala,6,4,1905.757
1508,115.0,B-17,6,4,2178.008
1509,3500.0,F-8,9,8,27225.0
1511,3500.0,F-6,10,11,234135.0
1514,210.0,Bahria Town,6,5,2722.51
1515,230.0,Bahria Town,6,5,2722.51
1516,400.0,Bahria Town,7,6,5445.0
1517,430.0,Bahria Town,7,6,5445.0
1518,235.0,Bahria Town,6,5,2722.51
1520,38.0,Ali Pur,2,3,1361.255
1521,850.0,E-11,9,7,5445.0
1522,90.0,FECHS,3,4,1361.255
1523,220.0,DHA Defence,5,6,2722.51
1524,1700.0,E-11,6,6,114345.0
1527,1900.0,F-8,9,9,70785.0
1528,50.0,Khanna Pul,0,6,816.7529999999999
1529,140.0,Pakistan Town,5,4,1633.506
1531,140.0,Pakistan Town,5,4,1633.506
1532,520.0,E-11,6,6,4356.016
1533,130.0,Pakistan Town,5,4,1633.506
1534,63.0,Shaheen Town,3,3,11979.043999999998
1814,150.0,Ghauri Town,6,5,1633.506
1815,360.0,E-11,7,5,27497.351
1821,500.0,National Police Foundation,0,0,4356.016
1822,210.0,Ghauri Town,7,7,2722.51
1823,640.0,E-11,10,7,4900.518
1828,500.0,Bani Gala,9,6,70785.0
1829,550.0,DHA Defence,5,5,5445.0
1830,420.0,Bahria Town,7,6,5445.0
1831,380.0,Bahria Town,6,5,5445.0
2081,225.0,Bahria Town,6,5,2722.51
2082,53.0,Ali Pur,2,2,11434.542
2083,220.0,DHA Defence,5,6,2722.51
2084,25.5,Islamabad Highway,2,1,816.7529999999999
2085,140.0,Bahria Town,3,3,1361.255
2086,230.0,G-13,4,4,29675.359
2088,215.0,E-11,7,6,1633.506
2089,18.0,Bhara kahu,2,2,6806.275
2090,50.0,Jhangi Syedan,0,0,2450.259
2091,90.0,F-17,5,4,1905.757
2092,155.0,G-15,0,0,2178.008
